입찰일시,실수요기관,공고명,Min,Max,물동량 평균,용역기간(개월),계약 기간 내,월 평균 환산,Min.1,Max.1,중앙값,평균,입찰결과_1순위,2순위,3순위,4순위,입찰금액_1순위,2순위.1,3순위.1,4순위.1,예가 대비,2순위 대비,Unnamed: 24,Unnamed: 25,개찰완료,단독응찰,직접진행,Revenue,Period,Rev/Month,Bubble size
2024-01-01 00:00:00,(재)한국에너지재단,2024년 에너지효율개선사업 콜센터 위탁 운영 용역,3,3,3,11.0,"145,100,000","13,190,909","4,396,970","4,396,970","4,396,970","4,396,970",(주)아이앤씨에스,(주)큐앤에이네트웍스,주식회사 콜포유,주식회사 하람앤커뮤니티,"143,930,000",135250000,144982200,143630000,99%,6.00%,,,,,,dddd,,dddd,
2024-01-01 00:00:00,건설근로자공제회,24년 전자카드제 전담 위탁콜센터 용역,10,10,10,9.0,"360,000,000","40,000,000","4,000,000","4,000,000","4,000,000","4,000,000",주식회사 한국클라우드,엠지신용정보 주식회사,주식회사 엠피씨플러스,,349083532,358714000,343986500,,97%,-2.80%,,,,,,,,,
2024-01-01 00:00:00,서울특별시,2024년 서울 청년수당 서류검증단 및 전담 콜센터 운영 용역,6,6,6,12.0,"287,204,000","23,933,667","3,988,944","3,988,944","3,988,944","3,988,944",주식회사 엠피씨플러스,주식회사 브랜드콘텐츠,주식회사 메타엠,주식회사 콜포유,284149000,258480000,274850000,282231400,99%,9.00%,,,,,,,,,
2024-01-01 00:00:00,아동권리보장원,2024년 아동학대예방 법정의무교육 실적관리 및 콜센터 운영,4,4,4,12.0,"139,000,000","11,583,333","2,895,833","2,895,833","2,895,833","2,895,833",(주)큐앤에이네트웍스,주식회사 텔레앤테크,주식회사 브랜드콘텐츠,주식회사 콜포유,135210000,138364770,125100000,138825500,97%,-2.30%,,,,,,,,,
2024-01-01 00:00:00,재단법인 부산경제진흥원,2024년 부산 다자녀 교육지원 포인트사업 콜센터 운영,2,6,4,12.0,"125,000,000","10,416,667","5,208,333","1,736,111","3,472,222","2,604,167",,,,,,,,,0%,#DIV/0!,무응찰,,,,,,,,
2024-01-01 00:00:00,재단법인한국보건의료정보원,2024년 진료정보교류시스템상담센터 운영관리,5,5,5,11.0,"195,000,000","17,727,273","3,545,455","3,545,455","3,545,455","3,545,455",주식회사 텔레앤테크,주식회사 한국클라우드,,,194820000,"193,949,253",,,100%,0.40%,,,,,,,,,
2024-01-01 00:00:00,창업진흥원,창업기업확인서 발급 콜센터 위탁운영,11,11,11,22.0,"1,050,000,000","47,727,273","4,338,843","4,338,843","4,338,843","4,338,843",엘비유세스 주식회사,주식회사 브랜드콘텐츠,주식회사 콜포유,(주) 월앤비전,966827400,,1049771805,,92%,100.00%,,,,,,,,,
2024-01-01 00:00:00,한국농수산식품유통공사,"농식품바우처 및 우유바우처 고객지원센터,운영용역 ",3,5,4,12.0,"160,000,000","13,333,333","4,444,444","2,666,667","3,555,556","3,333,333",(주)유원커리어센터,주식회사 블루데이타시스템즈,주식회사 코리아플러스파워,주식회사 텔레앤테크,147230000,154000000,155806200,159086550,92%,-4.60%,참여 업체수 8건,,,,,,,,
2024-01-01 00:00:00,한국문화재재단,2024년 궁능활용프로그램 콜센터 위탁 운영,2,4,3,9.0,"76,000,000","8,444,444","4,222,222","2,111,111","3,166,667","2,814,815",주식회사 텔레앤테크,주식회사 온오프믹스,주식회사 브랜드콘텐츠,주식회사 콜포유,75023400,75000000,68400000,75853800,99%,0.00%,참여 업체수 5건,,,,,,,,
2024-01-01 00:00:00,한국사회보장정보원,2024년 중앙모니터링센터 및 첫만남이용권 이용활성화 상담운영 위탁,13,13,13,9.0,"357,136,000","39,681,778","3,052,444","3,052,444","3,052,444","3,052,444",,,,,,,,,0%,#DIV/0!,단일응찰,,,,,,,,
2024-01-01 00:00:00,한국환경공단,2024년 순환경제성과관리 고객지원 콜센터 위탁운영,4,4,4,12.0,"138,505,000","11,542,083","2,885,521","2,885,521","2,885,521","2,885,521",(주)동신비티엠,유한회사 승환,싱크,(주)동해에스엔씨,119015890,119016360,"119,026,630",119028660,86%,0.00%,참여 업체수 450건,,,,,,,,
2024-02-01 00:00:00,경기교통공사,2024년 경기도 광역이동지원센터 콜센터 운영 용역,48,48,48,10.0,"2,150,538,000","215,053,800","4,480,288","4,480,288","4,480,288","4,480,288",해오름마리나 주식회사,주식회사 한국클라우드,(주)동우유니온,주식회사 뉴스타,1885537950,"1,886,688,815",1887366283,1887366283,88%,-0.10%,참여 업체수 50건,,,,,,,,
2024-02-01 00:00:00,국가평생교육진흥원,2024년 평생교육바우처 상담콜센터 위탁 운영,6,14,10,12.0,"438,500,000","36,541,667","6,090,278","2,610,119","4,350,198","3,654,167",엘비유세스 주식회사,주식회사 한국클라우드,(주)윌앤비전,주식회사 콜포유,436665900,"431,204,520",436191800,438402999,100%,1.30%,,,,,,,,,
2024-02-01 00:00:00,국민건강보험공단,국민건강보험공단 본부 고객센터 위탁 운영,213,213,213,24.0,"18,798,664,320","783,277,680","3,677,360","3,677,360","3,677,360","3,677,360",주식회사 케이티아이에스,주식회사 케이에스한국고용정보,주식회사 그린씨에스,,"3,343,055",,,,0%,100.00%,,,,,,,,,
2024-02-01 00:00:00,국민건강보험공단,국민건강보험공단 지역본부 고객센터 위탁 운영,"1,420.00","1,420.00","1,420.00",24.0,"125,324,428,800","5,221,851,200","3,677,360","3,677,360","3,677,360","3,677,360",효성아이티엑스 주식회사,(주)한국고용정보,주식회사 제이앤비컨설팅,주식회사 제니엘,"3,343,055",,,,0%,100.00%,참여 업체수 15건,,,,,,,,
2024-02-01 00:00:00,국세청 국세상담센터,2024년 종합소득세 홈택스 임시상담 위탁운영,115,115,115,2.9,"431,457,000","148,778,276","1,293,724","1,293,724","1,293,724","1,293,724",,,,,,,,,0%,#DIV/0!,단일응찰,,,,,,,,
2024-02-01 00:00:00,국세청 국세상담센터,2024년 종합소득세 세법상담 위탁운영,80,80,80,2.8,"333,800,000","119,214,286","1,490,179","1,490,179","1,490,179","1,490,179",,,,,,,,,0%,#DIV/0!,단일응찰,,,,,,,,
2024-02-01 00:00:00,대검찰청,1301검찰콜센터 상담인력 위탁용역 사업,8,8,8,12.0,"327,000,000","27,250,000","3,406,250","3,406,250","3,406,250","3,406,250",엘비유세스 주식회사,주식회사 엠피씨플러스,,,326515200,"326,805,600",,,100%,-0.10%,,,,,,,,,
2024-02-01 00:00:00,사단법인 굿네이버스 인터내셔날,2024년 굿네이버스 콜센터 운영,5,5,5,11.0,"200,000,000","18,181,818","3,636,364","3,636,364","3,636,364","3,636,364",주식회사 에스이커머스,(주)리서치랩,주식회사 한국클라우드,,"181,818,182",,,,91%,100.00%,,,,,,,,,
2024-02-01 00:00:00,사회복지법인 밀알복지재단,밀알복지재단 후원회원 인아웃바운드 통합콜센터 운영 용역 입찰공고,7,7,7,12.0,"300,000,000","25,000,000","3,571,429","3,571,429","3,571,429","3,571,429",,,,,,,,,0%,#DIV/0!,단독응찰,,,,,,,,
2024-02-01 00:00:00,서울특별시,2024년 미래청년기획단 생활지원사업 콜센터 운영 용역,4,11,7.5,11.0,"236,884,000","21,534,909","5,383,727","1,957,719","3,670,723","2,871,321",주식회사 콜포유,주식회사 브랜드콘텐츠,,,"236,563,800",213190000,,,100%,9.90%,,,,,,,,,
2024-02-01 00:00:00,재단법인서울문화재단,2024년 서울청년문화패스 콜센터 대행용역,3,4,3.5,11.0,"120,520,000","10,956,364","3,652,121","2,739,091","3,195,606","3,130,390",주식회사 콜포유,주식회사 브랜드콘텐츠,주식회사 라이온코리아,,120018800,108468000,108468000,,100%,9.60%,,,,,,,,,
2024-02-01 00:00:00,제주특별자치도개발공사,제주특별자치도개발공사 고객서비스센터 위탁운영 용역,5,5,5,12.0,"338,260,000","28,188,333","5,637,667","5,637,667","5,637,667","5,637,667",효성아이티엑스 주식회사,(주)케이티씨에스,주식회사 콜포유,,"307,509,091",,,,91%,100.00%,,,,,,,,,
2024-02-01 00:00:00,중소벤처기업진흥공단,비은행권 소상공인· 자영업자 금융비용 지원 고객센터 민간위탁 운영 용역,13,13,13,11.0,"549,230,518","49,930,047","3,840,773","3,840,773","3,840,773","3,840,773",(주)케이티씨에스,주식회사 트랜스코스모스코리아,주식회사 엠피씨플러스,엠지신용정보 주식회사,542873340,497037704,"522,205,200",543080000,99%,8.40%,참여 업체수 6건,,,,,,,,
2024-02-01 00:00:00,지티엑스에이운영주식회사,지티엑스에이(GTX-A) 콜센터 위탁운영,4,4,4,12.0,"206,040,000","17,170,000","4,292,500","4,292,500","4,292,500","4,292,500",주식회사 트랜스코스모스코리아,주식회사 휴넥트,주식회사 코리아플러스파워,주식회사 비즈니스클럽,192445880,178739532,181434000,,93%,7.10%,참여 업체수 17건,,,,,,,,
2024-02-01 00:00:00,한국무역보험공사,한국무역보험공사 2024년 고객센터 위탁운영사 선정,10,10,10,24.0,"870,000,000","36,250,000","3,625,000","3,625,000","3,625,000","3,625,000",주식회사 휴넥트,주식회사 제니엘,주식회사 엠피씨플러스,주식회사 메타엠,"790,909,091","790,909,091","790,909,091","790,909,091",91%,0.00%,참여 업체수 7건,,,,,,,,
2024-02-01 00:00:00,한국문화예술위원회,국가문화예술지원시스템 고객센터 위탁운영,3,5,4,11.0,"123,984,000","11,271,273","3,757,091","2,254,255","3,005,673","2,817,818",,,,,,,,,0%,#DIV/0!,단독응찰,,,,,,,,
2024-02-01 00:00:00,한국에너지공단,2024년 에너지바우처 콜센터 위탁운영 용역,15,15,15,12.0,"702,000,000","58,500,000","3,900,000","3,900,000","3,900,000","3,900,000",(주)아이앤씨에스,"주식회사 블루콘텐츠 (Blue Contents Co., Ltd.)",주식회사 웅진,,"687,960,000",631800000,689201117,,98%,8.20%,,,,,,,,,
2024-02-01 00:00:00,한국콘텐츠진흥원,2024콘텐츠민원상담창구운영 위탁용역,5,5,5,9.0,"160,329,000","17,814,333","3,562,867","3,562,867","3,562,867","3,562,867",주식회사 브랜드콘텐츠,주식회사 코리아플러스파워,,,"145,753,636","145,753,636",,,91%,0.00%,,,,,,,,,
2024-02-01 00:00:00,한국환경공단,층간소음 이웃사이서비스 콜센터 위탁운영,10,10,10,12.0,"550,000,000","45,833,333","4,583,333","4,583,333","4,583,333","4,583,333",(주)케이티씨에스,엘비유세스 주식회사,더화이트커뮤니케이션 주식회사,주식회사 한국클라우드,"485,522,400",474046320,492587260,528003760,88%,2.40%,참여 업체수 9건,,,,,,,,
2024-03-01 00:00:00,강원특별자치도 자치행정과,강원특별자치도 콜센터 민간위탁 운영사업자 모집 공고,9,9,9,31.0,"1,264,723,000","40,797,516","4,533,057","4,533,057","4,533,057","4,533,057",,,,,,,,,0%,#DIV/0!,개찰 내역 없음,,,,,,,,
2024-03-01 00:00:00,강원특별자치도 춘천시,춘천시 민원콜센터 운영 민간위탁 사업자 모집 공고,9,9,9,10.0,"908,000,000","90,800,000","10,088,889","10,088,889","10,088,889","10,088,889",,,,,,,,,0%,#DIV/0!,개찰 내역 없음,,,,,,,,
2024-03-01 00:00:00,광주광역시 도시공사,임대주택 콜센터 위탁관리 운영 용역(협상에 의한 계약),5,5,5,24.0,"627,727,320","26,155,305","5,231,061","5,231,061","5,231,061","5,231,061",,,,,,,,,0%,#DIV/0!,단독응찰로 인한 유찰,,,,,,,,
2024-03-01 00:00:00,농림수산식품교육문화정보원,2024년 청년농업인 및 농업법인 상담콜센터 운영,5,8,6.5,10.0,"244,360,000","24,436,000","4,887,200","3,054,500","3,970,850","3,759,385",주식회사 블루데이타시스템즈,주식회사 코리아플러스파워,엘비유세스 주식회사,주식회사 엠피씨플러스,242000000,"239,161,150",243567600,220540000,99%,1.20%,참여 업체수 7건,,,,,,,,
2024-03-01 00:00:00,대•중소기업 •농어업협력재단,2024년도 상생결제 콜센터 운영 용역,2,2,2,10.0,"90,000,000","9,000,000","4,500,000","4,500,000","4,500,000","4,500,000",,,,,,,,,0%,#DIV/0!,공고기관 직접 집행,,,,,,,,
2024-03-01 00:00:00,부산항만공사,2024년 체인포털 24시간 콜센터 및 시스템 운영 용역 ,26,26,26,6.0,"589,600,000","98,266,667","3,779,487","3,779,487","3,779,487","3,779,487",,,,,,,,,0%,#DIV/0!,단일응찰,,,,,,,,
2024-03-01 00:00:00,사단법인 보험개발원,재난안전의무보험 민원상담센터 운영 사업,2.5,2.5,2.5,12.0,"117,570,000","9,797,500","3,919,000","3,919,000","3,919,000","3,919,000",,,,,,,,,0%,#DIV/0!,공고기관 직접 집행,,,,,,,,
2024-03-01 00:00:00,소상공인시장진흥공단,2024년 중소유통 콜센터 위탁운영 용역,5,5,5,10.0,"249,950,000","24,995,000","4,999,000","4,999,000","4,999,000","4,999,000",주식회사 쏘프,주식회사 텔레앤테크,나이스신용정보 주식회사,주식회사 핑거프라임,247500000,239885360,240406690,234864000,99%,3.10%,,,,,,,,,
2024-03-01 00:00:00,재단법인 서울관광재단,2024 디스커버서울패스 고객센터 운영,6,59,32.5,10.0,"200,000,000","20,000,000","3,333,333","338,983","1,836,158","615,385",주식회사 라이온코리아,주식회사 프리미엄패스인터내셔널,,,"197,990,000",197200000,,,99%,0.40%,,,,,,,,,
2024-03-01 00:00:00,재단법인경기도일자리재단,2024년 경기도 청년 노동자 지원사업 콜센터 운영 용역,59,59,59,10.0,"2,549,790,000","254,979,000","4,321,678","4,321,678","4,321,678","4,321,678",(주)케이티씨에스,주식회사 메타엠,주식회사 콜포유,,"2,120,576,520","2,100,812,000","2,367,010,800",,83%,0.90%,,,,,,,,,
2024-03-01 00:00:00,재단법인충청남도일자리경제진흥원,2024년 농사랑 고객센터 운영 용역,1,1,1,9.0,"38,000,000","4,222,222","4,222,222","4,222,222","4,222,222","4,222,222",,,,,,,,,0%,#DIV/0!,무응찰,,,,,,,,
2024-03-01 00:00:00,한국가스안전공사,2024년 굴착공사정보지원센터 상담업무 위탁용역,30,30,30,24.0,"2,709,048,000","112,877,000","3,762,567","3,762,567","3,762,567","3,762,567",효성아이티엑스 주식회사,주식회사 케이티아이에스,주식회사 메타엠,주식회사 트랜스코스모스코리아,2661639660,2627809386,2577533200,2648006086,98%,1.30%,참여 업체수 6건,,,,,,,,
2024-03-01 00:00:00,한국농업기술진흥원,2024년 스마트농업 상담센터 위탁 운영,2,2,2,8.3,"90,000,000","10,843,373","5,421,687","5,421,687","5,421,687","5,421,687",주식회사 블루데이타시스템즈,주식회사 코리아플러스파워,주식회사 콜포유,주식회사 핑거프라임,88000000,87394797,89985989,80211200,98%,0.70%,,,,,,,,,
2024-03-01 00:00:00,한국부동산원,「2024년 국가 건물에너지 통합관리시스템 콜센터 운영 용역」,3,3,3,9.0,"114,200,000","12,688,889","4,229,630","4,229,630","4,229,630","4,229,630",,,,,,,,,0%,#DIV/0!,단독응찰,,,,,,,,
2024-03-01 00:00:00,한국사회적기업진흥원,2024년도 협동조합 유선상담 운영 용역,2,2,2,8.0,"40,000,000","5,000,000","2,500,000","2,500,000","2,500,000","2,500,000",쿱비즈 협동조합,로컬브릿지 사회경제연구원 사회적협동조합,,,38000000,40000000,,,95%,-5.30%,,,,,,,,,
2024-03-01 00:00:00,한국지방세연구원,2024년도 개인지방소득세 상담 콜센터 운영위탁 용역,48,48,48,1.3,"250,000,000","189,393,939","3,945,707","3,945,707","3,945,707","3,945,707",,,,,,,,,0%,#DIV/0!,1개업체 입찰,,,,,,,,
2024-04-01 00:00:00,(주)코스콤,2024년 코스콤 콜센터 운용도급,5,5,5,24.0,"468,380,000","19,515,833","3,903,167","3,903,167","3,903,167","3,903,167",,,,,,,,,0%,#DIV/0!,단독응찰,,,,,,,,
2024-04-01 00:00:00,경기도 안성시,안성시 민원상담콜센터 운영 민간위탁 용역,7,7,7,24.0,"654,669,000","27,277,875","3,896,839","3,896,839","3,896,839","3,896,839",(주)케이티씨에스,주식회사 케이티아이에스,효성아이티엑스 주식회사,엠지신용정보 주식회사,"619,615,312",652684440,639136801,622505300,95%,-5.30%,,,,,,,,,
2024-04-01 00:00:00,경기주택도시공사,경기도 전세피해 고객지원센터 운영 용역,4,4,4,8.0,"150,013,000","18,751,625","4,687,906","4,687,906","4,687,906","4,687,906",주식회사 티에이치서비스,주식회사 홍조,포에스,주식회사 이사박사코리아,131805200,131805290,131813060,"131,820,690",88%,0.00%,참여 업체수 327건,,,,,,,,
2024-04-01 00:00:00,교육부 국립특수교육원 총무과,2024년 장애인 평생교육이용권 상담콜센터 위탁 운영,4,4,4,0.2,"200,000,000","1,000,000,000","250,000,000","250,000,000","250,000,000","250,000,000",주식회사 한국클라우드,(주)리서치랩,,,193346494,192051000,,,97%,0.70%,,,,,,,,,
2024-04-01 00:00:00,대검찰청,2024년 검찰 IT지원센터 위탁운영 사업,3,3,3,12.0,"126,000,000","10,500,000","3,500,000","3,500,000","3,500,000","3,500,000",,,,,,,,,0%,#DIV/0!,단일응찰,,,,,,,,
2024-04-01 00:00:00,대구공공시설관리공단,2024년도 나드리콜 고객만족 (Happy-Call)조사 용역,2,2,2,8.0,"33,000,000","4,114,713","2,057,357","2,057,357","2,057,357","2,057,357",네오티시스,주식회사 대능,주식회사 대경리서치,케이피오 주식회사,28862690,28894760,28926000,28939000,87%,-0.10%,참여 업체수 18건,,,,,,,,
2024-04-01 00:00:00,전북대학교병원,전북대학교병원 콜센터 민간 위탁운영 사업,21,21,21,42.0,"972,000,000","23,142,857","1,102,041","1,102,041","1,102,041","1,102,041",,,,,,,,,0%,#DIV/0!,단독응찰,,,,,,,,
2024-04-01 00:00:00,중소기업은행,IBK고객센터 전화상담업무 위탁운영 협력기업 선정 추진(아웃바운드),50,60,55,24.0,"3,861,400,000","160,891,667","3,217,833","2,681,528","2,949,681","2,925,303",(주)윌앤비전,고려휴먼스(주),에프앤유신용정보 주식회사,효성아이티엑스 주식회사,"3,510,363,636",,,,91%,100.00%,참여 업체수 6건,,,,,,,,
2024-04-01 00:00:00,중소벤처기업진흥공단,2024년 수출바우처 민원안내센터 민간위탁운영 용역,7,7,7,12.0,"458,591,328","38,215,944","5,459,421","5,459,421","5,459,421","5,459,421",(주)케이티씨에스,(주)유원커리어센터,,,451689330,395400000,,,98%,12.50%,,,,,,,,,
2024-04-01 00:00:00,한국소방안전원,한국소방안전원 콜센터 위탁운영 용역,15,15,15,12.0,"632,571,000","52,714,250","3,514,283","3,514,283","3,514,283","3,514,283",주식회사 한국클라우드,이케이맨파워 주식회사,주식회사 가겐투안,주식회사 인사이드잡,555183611,555574000,556631000,"558,103,900",88%,-0.10%,참여 업체수 12건,,,,,,,,
2024-04-01 00:00:00,한국에너지공단,2024년 에너지절약계획서 통합 콜센터 위탁 운영,3,4,3.5,0.1,"150,000,000","1,500,000,000","500,000,000","375,000,000","437,500,000","428,571,429",,,,,,,,,0%,#DIV/0!,단독응찰,,,,,,,,
2024-04-01 00:00:00,한국에너지공단,2024년 제로에너지건축물 인증 콜센터 위탁 운영,1,2,1.5,7.6,"85,000,000","11,184,211","11,184,211","5,592,105","8,388,158","7,456,140",(주)아이앤씨에스,주식회사 콜포유,(주)제이에스비엠디,,83300000,84678000,84500000,,98%,-1.70%,공고기관 직접 집행,,,,,,,,
2024-05-01 00:00:00,경기도 화성시,『화성시 콜센터』 운영 민간위탁,28,28,28,24.0,"2,995,530,000","124,813,750","4,457,634","4,457,634","4,457,634","4,457,634",,,,,,,,,0%,#DIV/0!,,,,,,,,,
2024-05-01 00:00:00,사단법인 한국포도협회,포도의무자조금 회원정보 관리 및 상담센터 운영 대행업체 선정,3,3,3,6.0,"60,000,000","10,000,000","3,333,333","3,333,333","3,333,333","3,333,333",(주)큐앤에이네트웍스,주식회사 콜포유,주식회사 비에이치소프트,주식회사 코리아플러스파워,55280000,59914800,56000000,"58,685,418",92%,-8.40%,공고기관 직접 집행,,,,,,,,
2024-05-01 00:00:00,제주관광공사,제주관광정보센터 운영 관리 및 시스템 ASP,14,14,14,24.0,"1,585,520,000","66,063,333","4,718,810","4,718,810","4,718,810","4,718,810",,,,,,,,,0%,#DIV/0!,,,,,,,,,
2024-05-01 00:00:00,한국교육학술정보원,2024년~2025년 국립대학자원관리시스템(KORUS) 전화상담센터 운영,15,15,15,22.0,"1,374,657,000","62,484,409","4,165,627","4,165,627","4,165,627","4,165,627",(주)케이티씨에스,효성아이티엑스 주식회사,주식회사 한국클라우드,,1366055900,1338066400,"1,348,074,043",,99%,2.00%,,,,,,,,,
2024-05-01 00:00:00,한국산업기술기획평가원,KEIT R&D 상담콜센터 위탁운영 용역,5,5,5,36.0,"960,000,000","26,666,667","5,333,333","5,333,333","5,333,333","5,333,333",주식회사 한국클라우드,엘비유세스 주식회사,주식회사 제니엘,주식회사 트랜스코스모스코리아,"903,989,020",905533200,"805,000,000",871551460,94%,-0.20%,참여 업체수 9,,,,,,,,
2024-05-01 00:00:00,한국임업진흥원,2024년 합법목재 수입신고 민원통합센터 운영 및 고객분석,4,4,4,6.8,"100,000,000","14,705,882","3,676,471","3,676,471","3,676,471","3,676,471",주식회사 올마이티아이엔씨,(주)큐앤에이네트웍스,주식회사 코리아플러스파워,,91509000,92720000,96675814,,92%,-1.30%,,,,,,,,,
2024-05-01 00:00:00,한국지역정보개발원,지방세정보시스템(위택스) 상담콜센터,90,90,90,3.0,"565,273,573","188,424,524","2,093,606","2,093,606","2,093,606","2,093,606",(주)한국고용정보,주식회사 메타엠,(주)아데코코리아,,396942037,440913387,544994010,,70%,-11.10%,,,,,,,,,
2024-06-01 00:00:00,대한적십자사 혈액관리본부,대한적십자사 혈액관리본부 CRM 콜센터 위탁운영 용역,31,31,31,24.0,"2,650,000,000","110,416,667","3,561,828","3,561,828","3,561,828","3,561,828",(주)케이티씨에스,주식회사 휴넥트,주식회사 엠피씨플러스,엘비유세스 주식회사,2458261612,2499864973,2471700000,2552873400,93%,-1.70%,참여 업체수 7,,,,,,,,
2024-06-01 00:00:00,마스타자동차관리(주),초소형전기차 긴급출동서비스(ERS) 기반의 콜센터 운영 용역,3,3,3,5.7,"55,000,000","9,649,123","3,216,374","3,216,374","3,216,374","3,216,374",,,,,,,,,0%,#DIV/0!,공고기관 직접 집행,,,,,,,,
2024-06-01 00:00:00,중소기업은행 ,IBK기업은행 카드마케팅 TM업무 외부용역 수탁기업 선정(A기업),57,57,57,24.0,"4,495,693,968","187,320,582","3,286,326","3,286,326","3,286,326","3,286,326",,,,,,,,,0%,#DIV/0!,공고기관 직접 집행,,,,,,,,
2024-06-01 00:00:00,중소기업은행 ,IBK기업은행 카드마케팅 TM업무 외부용역 수탁기업 선정(B기업),44,44,44,24.0,"3,470,360,256","144,598,344","3,286,326","3,286,326","3,286,326","3,286,326",,,,,,,,,0%,#DIV/0!,공고기관 직접 집행,,,,,,,,
2024-06-01 00:00:00,축산물 품질평가원,2024년 스마트축산 콜센터 2차 위탁운영 용역,2,2,2,5.6,"68,950,000","12,312,500","6,156,250","6,156,250","6,156,250","6,156,250",주식회사 블루데이타시스템즈,(주)큐앤에이네트웍스,주식회사 콜포유,주식회사컴플리트,"62,681,818",,,,91%,100.00%,,,,,,,,,
2024-06-01 00:00:00,충청남도 논산시,논산시 민원콜센터 민간위탁 운영 수탁기관 모집 공고,5,5,5,28.0,"753,989,000","26,928,179","5,385,636","5,385,636","5,385,636","5,385,636",,,,,,,,,0%,#DIV/0!,단독응찰,,,,,,,,
